Month,Playlist,Popularity
2017-01-31,Today's Top Hits,100.0
2017-02-28,Today's Top Hits,95.67231485778044
2017-03-31,Today's Top Hits,95.9657154177762
2017-04-30,Today's Top Hits,96.70605837294922
2017-05-31,Today's Top Hits,84.28377858092877
2017-06-30,Today's Top Hits,80.64749703343591
2017-07-31,Today's Top Hits,86.07788225935515
2017-08-31,Today's Top Hits,78.38262819121908
2017-09-30,Today's Top Hits,68.56171897941614
2017-10-31,Today's Top Hits,69.9855274906571
2017-11-30,Today's Top Hits,61.31927517230133
2017-12-31,Today's Top Hits,57.671351232148716
2017-01-31,Viva Latino!,91.69373590096224
2017-02-28,Viva Latino!,72.97067465103177
2017-03-31,Viva Latino!,70.6528478996815
2017-04-30,Viva Latino!,75.15489638622229
2017-05-31,Viva Latino!,68.36472761220449
2017-06-30,Viva Latino!,74.01791314634873
2017-07-31,Viva Latino!,61.82564965316971
2017-08-31,Viva Latino!,54.6593286361075
2017-09-30,Viva Latino!,71.16863229154178
2017-10-31,Viva Latino!,55.69229316932152
2017-11-30,Viva Latino!,54.109061069179106
2017-12-31,Viva Latino!,40.0267626965058
2017-01-31,Global Dance Hits,74.55617275474818
2017-02-28,Global Dance Hits,77.47286226073503
2017-03-31,Global Dance Hits,61.21733695304971
2017-04-30,Global Dance Hits,72.84788927436581
2017-05-31,Global Dance Hits,59.4481585553574
2017-06-30,Global Dance Hits,58.90124432024905
2017-07-31,Global Dance Hits,52.16475205952422
2017-08-31,Global Dance Hits,73.06823639054392
2017-09-30,Global Dance Hits,50.77411866171157
2017-10-31,Global Dance Hits,36.69561798316827
2017-11-30,Global Dance Hits,51.861812757395526
2017-12-31,Global Dance Hits,27.791563500289776
