Month,Playlist,Popularity
2012-07-31,Global Hits,100.0
2012-08-31,Global Hits,91.6043781945212
2012-09-30,Global Hits,89.32768911098375
2012-10-31,Global Hits,81.40958443043155
2012-11-30,Global Hits,76.46410054008061
2012-12-31,Global Hits,70.07916087355325
2013-01-31,Global Hits,75.54935698487088
2013-02-28,Global Hits,69.66042761992988
2013-03-31,Global Hits,55.50434246981021
2013-04-30,Global Hits,60.188735084649466
2013-05-31,Global Hits,57.939478540579856
2013-06-30,Global Hits,59.446363657076404
2012-07-31,Viral Hits,100.0
2012-08-31,Viral Hits,90.72807836978618
2012-09-30,Viral Hits,81.63184277903298
2012-10-31,Viral Hits,85.9515997185977
2012-11-30,Viral Hits,85.17397266484258
2012-12-31,Viral Hits,77.40416204906776
2013-01-31,Viral Hits,66.15893125010791
2013-02-28,Viral Hits,63.605128646277635
2013-03-31,Viral Hits,45.64145019951965
2013-04-30,Viral Hits,53.940027956952804
2013-05-31,Viral Hits,54.74998377547922
2013-06-30,Viral Hits,39.556704115845754
2012-07-31,Dance Anthems,86.21668361534559
2012-08-31,Dance Anthems,92.07602538199103
2012-09-30,Dance Anthems,74.97959785089724
2012-10-31,Dance Anthems,86.27795744482152
2012-11-30,Dance Anthems,68.5449278572224
2012-12-31,Dance Anthems,70.37527632726334
2013-01-31,Dance Anthems,51.14316487232053
2013-02-28,Dance Anthems,55.1981800078432
2013-03-31,Dance Anthems,61.865828874516026
2013-04-30,Dance Anthems,26.740368542372558
2013-05-31,Dance Anthems,49.289837002109635
2013-06-30,Dance Anthems,9.106457225306322
